elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,60,0.046,0.094,0.193,0.004,0.007,0.039,0.182,0.001,0.001,0.001,0.001,,,,,,,60
2.0,60,0.039,0.067,0.074,0.004,0.008,0.031,0.068,0.001,0.001,0.001,0.001,,,,,,,60
3.0,60,0.051,0.167,0.186,0.006,0.128,0.039,0.176,0.001,0.001,0.004,0.133,,,,,,,60
4.1,58,2.446,0.207,138.874,2.389,138.158,0.042,0.297,0.001,0.013,0.012,0.648,0.432,0.432,0.193,0.193,0.002,0.002,58
5.1,47,6.004,32.524,90.987,3.069,90.410,0.400,11.423,0.228,9.449,2.304,26.888,1.710,26.595,0.357,4.097,0.218,2.535,47
6.1,61,3.288,15.555,38.795,0.129,1.717,0.619,20.824,0.031,1.326,2.506,38.670,0.581,7.489,1.617,34.472,0.286,2.419,61
7.1,61,3.555,13.400,34.975,0.038,0.515,0.955,12.570,0.009,0.120,2.551,22.359,0.912,21.086,0.961,15.517,0.660,11.527,61
8.2,60,1.038,3.360,4.253,0.098,2.506,0.080,1.258,0.006,0.094,0.850,3.635,0.239,2.626,0.339,1.685,0.254,3.216,60
9.2,60,0.621,0.883,0.930,0.044,0.220,0.046,0.143,0.003,0.005,0.525,0.859,0.097,0.236,0.263,0.543,0.150,0.435,60
10.2,60,0.577,0.888,1.045,0.034,0.145,0.046,0.194,0.003,0.016,0.487,0.907,0.085,0.184,0.237,0.396,0.153,0.433,60
11.2,60,0.579,0.882,0.976,0.041,0.178,0.050,0.201,0.003,0.037,0.483,0.859,0.083,0.134,0.235,0.388,0.151,0.390,60
12.2,60,0.586,0.840,0.874,0.037,0.141,0.047,0.143,0.003,0.031,0.497,0.836,0.083,0.196,0.246,0.426,0.151,0.463,60
13.2,60,0.585,0.855,0.973,0.031,0.135,0.042,0.152,0.004,0.067,0.506,0.853,0.082,0.208,0.256,0.464,0.153,0.398,60
14.2,60,0.601,0.905,1.296,0.028,0.143,0.045,0.218,0.005,0.123,0.521,1.212,0.083,0.249,0.253,0.488,0.172,0.691,60
15.2,60,0.579,0.863,0.930,0.033,0.137,0.042,0.137,0.003,0.039,0.496,0.894,0.089,0.206,0.247,0.427,0.146,0.428,60
16.2,60,0.591,0.929,1.004,0.033,0.182,0.038,0.158,0.004,0.097,0.514,0.903,0.088,0.192,0.258,0.524,0.152,0.407,60
17.2,60,0.598,0.902,0.948,0.035,0.213,0.046,0.143,0.003,0.005,0.512,0.880,0.092,0.263,0.252,0.399,0.154,0.422,60
18.2,60,0.565,0.820,1.006,0.036,0.227,0.045,0.133,0.004,0.090,0.478,0.950,0.081,0.146,0.231,0.429,0.155,0.413,60
19.2,60,0.568,0.826,0.864,0.036,0.158,0.047,0.168,0.007,0.099,0.476,0.808,0.079,0.156,0.226,0.381,0.151,0.446,60
20.2,60,0.559,0.764,1.193,0.029,0.218,0.044,0.139,0.003,0.006,0.481,1.042,0.088,0.202,0.228,0.380,0.153,0.449,60
21.2,60,0.570,0.863,0.989,0.026,0.069,0.036,0.063,0.003,0.012,0.502,0.922,0.084,0.131,0.247,0.398,0.159,0.454,60
22.2,60,0.540,0.829,0.998,0.025,0.073,0.035,0.066,0.003,0.006,0.475,0.927,0.081,0.183,0.228,0.434,0.152,0.431,60
23.2,60,0.571,0.829,0.976,0.027,0.075,0.036,0.063,0.003,0.013,0.502,0.898,0.079,0.132,0.224,0.420,0.180,0.474,60
24.2,60,0.599,0.900,1.330,0.027,0.079,0.036,0.064,0.003,0.006,0.531,1.249,0.080,0.154,0.238,0.533,0.191,0.514,60
25.2,60,0.582,0.849,0.940,0.027,0.073,0.037,0.065,0.003,0.016,0.512,0.858,0.081,0.130,0.226,0.321,0.183,0.491,60
