elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames,_on_decode_done_mean_ms,_on_decode_done_max_ms,_on_wave_done_mean_ms,_on_wave_done_max_ms,_on_wave_render_done_mean_ms,_on_wave_render_done_max_ms,_on_lufs_done_mean_ms,_on_lufs_done_max_ms,_apply_spectrum_mean_ms,_apply_spectrum_max_ms,_on_spectro_done_mean_ms,_on_spectro_done_max_ms,_on_spectro_fs_done_mean_ms,_on_spectro_fs_done_max_ms
1.0,60,0.042,0.067,0.159,0.007,0.129,0.032,0.057,0.001,0.001,0.001,0.001,,,,,,,60,,,,,,,,,,,,,,
2.0,60,0.043,0.064,0.178,0.005,0.007,0.034,0.158,0.001,0.001,0.001,0.001,,,,,,,60,,,,,,,,,,,,,,
3.0,60,0.042,0.068,0.158,0.004,0.009,0.035,0.152,0.001,0.001,0.001,0.001,,,,,,,60,,,,,,,,,,,,,,
4.0,45,6.232,20.358,146.264,3.358,145.547,0.304,6.049,0.007,0.033,2.562,34.330,1.712,18.697,1.530,33.811,0.230,1.961,45,0.092,0.092,0.809,1.059,0.153,0.179,,,0.061,0.124,,,,
5.0,59,2.738,11.039,27.990,0.041,0.151,0.875,26.564,0.006,0.061,1.813,16.704,0.156,1.906,0.995,11.992,0.641,16.383,59,0.087,0.102,,,,,,,0.051,0.086,,,,
6.0,54,4.537,19.539,36.557,0.085,1.306,0.844,14.390,0.044,1.488,3.562,36.492,0.664,5.868,2.665,35.936,0.216,1.075,54,,,,,,,,,0.040,0.073,0.751,1.296,,
7.0,62,1.542,3.812,16.888,0.063,0.648,0.312,9.555,0.048,1.804,1.116,7.467,0.256,5.133,0.454,2.440,0.390,7.175,62,,,,,,,0.490,0.581,0.040,0.058,,,0.026,0.041
8.0,60,0.567,0.860,0.943,0.030,0.204,0.037,0.084,0.003,0.007,0.495,0.869,0.086,0.149,0.250,0.544,0.144,0.451,60,,,,,,,,,0.039,0.098,,,,
9.0,60,0.571,0.919,1.105,0.029,0.076,0.038,0.060,0.003,0.007,0.499,1.038,0.088,0.206,0.247,0.609,0.150,0.404,60,,,,,,,,,0.040,0.060,,,,
10.0,60,0.578,0.916,1.013,0.028,0.073,0.037,0.058,0.003,0.005,0.508,0.945,0.088,0.138,0.263,0.494,0.143,0.404,60,,,,,,,,,0.039,0.055,,,,
11.0,60,0.547,0.887,0.929,0.027,0.081,0.036,0.053,0.003,0.014,0.478,0.862,0.084,0.156,0.234,0.403,0.148,0.458,60,,,,,,,,,0.037,0.061,,,,
12.0,60,0.550,0.910,0.930,0.028,0.122,0.034,0.053,0.004,0.058,0.481,0.865,0.082,0.144,0.239,0.395,0.148,0.456,60,,,,,,,,,0.040,0.114,,,,
13.0,60,0.561,0.906,1.043,0.027,0.070,0.037,0.090,0.003,0.021,0.491,0.975,0.085,0.188,0.245,0.505,0.148,0.431,60,,,,,,,,,0.038,0.054,,,,
14.0,58,0.555,0.889,0.990,0.028,0.138,0.039,0.129,0.003,0.006,0.483,0.920,0.086,0.132,0.235,0.396,0.149,0.381,58,,,,,,,,,0.039,0.128,,,,
14.6,30,0.567,0.813,0.896,0.031,0.088,0.040,0.063,0.003,0.005,0.486,0.829,0.093,0.186,0.231,0.384,0.148,0.418,30,,,,,,,,,0.044,0.065,,,,
